user_id,movie_id,score,block_size
63185,147729,4,-1
65365,8094,2,-1
131087,la+moiti%C3%A9+gauche+du+frigo+2000,3,-1
113897,4523,3,-1
100580,1818,4,-1
65124,46016,3,-1
20450,39386,4,-1
9184,32628,4,-1
108062,1677,4,-1
121280,95755,3,-1
36804,157354,5,-1
103848,111854,3,-1
2302,804,5,-1
110394,91262,4,-1
33538,18487,3,-1
128902,175739,4,-1
132184,38445,4,-1
30029,44947,5,-1
128905,10606,3,-1
110138,19362,4,-1
68405,the+fox+%26+the+child+2007,3,-1
24829,42122,4,-1
112796,56919,3,-1
90314,1213,4,-1
91884,289394,4,-1
44410,adrift+2009,4,-1
121272,126596,4,-1
31580,289,3,-1
66228,54563,4,-1
17290,97365,3,-1
76494,82698,4,-1
32677,37927,3,-1
32435,13855,5,-1
12606,97367,4,-1
30015,27447,3,-1
32675,52059,5,-1
56661,14157,3,-1
52069,83345,4,-1
80513,stargate%3A+the+ark+of+truth+2008,4,-1
30011,1066%3A+the+battle+for+middle+earth+2009,4,-1
112562,33831,4,-1
119193,766,3,-1
101433,100122,3,-1
4733,63154,2,-1
110140,58311,3,-1
57759,33222,4,-1
3408,40352,4,-1
119196,1093,4,-1
64040,10110,3,-1
91673,20862,4,-1
92763,heathcliff%3A+the+movie+1986,4,-1
136318,21955,3,-1
110366,10872,3,-1
68418,253686,4,-1
21528,2105,4,-1
44405,33387,4,-1
74096,173912,2,-1
124768,zat%C3%B4ichi+at+large+1972,4,-1
102738,2911,3,-1
6927,margaret+cho%3A+notorious+c.h.o.+2002,2,-1
33752,39287,3,-1
65380,marina+abramovi%C4%87%3A+the+artist+is+present+2012,2,-1
64291,79519,4,-1
103822,14251,5,-1
88264,1429,3,-1
87161,73600,4,-1
67337,20330,4,-1
42691,45512,3,-1
86070,howard+zinn%3A+you+can%27t+be+neutral+on+a+moving+train+2004,4,-1
21770,boccaccio+%2770+1962,4,-1
92753,77966,4,-1
24809,35153,4,-1
67578,jesse+stone%3A+sea+change+2007,3,-1
52087,714,4,-1
123668,75778,3,-1
54023,49798,4,-1
33744,106833,3,-1
78212,xtro+3%3A+watch+the+skies+1995,3,-1
99141,26889,4,-1
56683,878,4,-1
120397,121147,3,-1
79307,25297,3,-1
102743,742,4,-1
65390,16869,5,-1
67571,operation%3A+daybreak+1975,3,-1
93632,2277,3,-1
87193,28874,4,-1
135889,198001,3,-1
111279,50837,4,-1
41113,67636,4,-1
90124,10491,3,-1
5862,38716,4,-1
127621,the+world%27s+fastest+indian+2005,4,-1
115638,43095,4,-1
60704,133369,3,-1
52093,20640,4,-1
98084,75969,3,-1
59726,60542,4,-1
127858,152742,4,-1
11703,236735,4,-1
81657,125271,3,-1
27284,44342,5,-1
29467,710,3,-1
56213,17660,4,-1
111043,288952,3,-1
19428,46067,4,-1
38173,4932,4,-1
132145,150056,4,-1
21995,35580,4,-1
18346,35124,4,-1
23935,278086,3,-1
43523,398452,3,-1
41103,12921,2,-1
132149,2463,3,-1
3452,86598,3,-1
60718,18809,2,-1
115625,alabama%27s+ghost+1973,4,-1
16160,batman%3A+the+dark+knight+returns_+part+2+2013,5,-1
122159,74790,3,-1
10865,113091,4,-1
124579,31939,4,-1
28384,41625,4,-1
2599,42676,5,-1
59975,19275,3,-1
90107,266856,4,-1
67590,papa%27s+delicate+condition+1963,4,-1
847,12839,4,-1
104501,27629,4,-1
80790,39889,3,-1
89152,58937,5,-1
90389,65086,3,-1
113677,11170,5,-1
111497,31334,3,-1
43991,134481,5,-1
95832,18050,4,-1
123241,97024,3,-1
116943,17447,4,-1
94981,14804,3,-1
137608,37550,5,-1
54292,118,3,-1
82765,34689,3,-1
78026,13979,4,-1
82526,12169,4,-1
33951,edwin+boyd%3A+citizen+gangster+2011,3,-1
80106,74692,5,-1
30682,adam%27s+rib+1949,4,-1
133492,761,4,-1
39017,21634,4,-1
71859,39227,4,-1
113427,20034,3,-1
111247,41822,3,-1
21972,7983,4,-1
91468,the+boys+%26+girls+guide+to+getting+down+2007,3,-1
135434,36299,3,-1
23918,9352,4,-1
2142,72875,3,-1
44839,king%27s+game+2004,3,-1
56242,63194,3,-1
1290,40435,4,-1
84932,15802,3,-1
29693,64362,4,-1
82993,98355,4,-1
111253,33203,4,-1
7824,16509,3,-1
4798,long+night%27s+journey+into+day+2000,3,-1
50940,85559,3,-1
49285,4486,3,-1
50945,2118,3,-1
48865,43680,4,-1
59088,86782,3,-1
64677,156284,4,-1
99777,2110,3,-1
40901,178535,4,-1
64439,128042,2,-1
22479,71762,4,-1
130836,176069,2,-1
76424,16220,5,-1
86466,henry%3A+portrait+of+a+serial+killer+1986,3,-1
128502,10293,3,-1
138323,28774,3,-1
83197,51230,3,-1
102597,55165,5,-1
50038,futurama%3A+into+the+wild+green+yonder+2009,4,-1
135057,67079,4,-1
136387,105299,4,-1
15945,24128,5,-1
